20,"Gibson's Albatross",Tūī,Kākā,Kākāpō,"Little Spotted Kiwi"
22,"Spotted Shag",Fantail,Weka
23,"Great Spotted Kiwi",Kea,"Little Spotted Kiwi",Kākāpō,Kererū
25,"Blue Duck","New Zealand Falcon","South Island Kōkako",Morepork,"Australasian Gannet"
26,"Little Penguin","Rockhopper Penguin",Bittern,"Black Robin",Morepork
27,"North Island Brown Kiwi",Stitchbird,Kea
28,"Banded Dotterel","Hutton's Shearwater","Antipodean Albatross","Whenua Hou Diving Petrel","Southern Brown Kiwi"
29,"Rockhopper Penguin",Wrybill,"Great Spotted Kiwi","North Island Brown Kiwi",Tomtit
30,Kākāpō,Pūkeko,Fantail,Kākā,Morepork
31,"Black Petrel","Blue Duck","South Island Kōkako","Great Spotted Kiwi",Kea
32,Kākāpō,"Chatham Island Oystercatcher","Black Robin","New Zealand Dotterel","Blue Duck"
33,"Yellow-eyed penguin",Kākāpō,Kererū,Bellbird,"Banded Dotterel"
34,"Chatham Island Mollymawk",Morepork,"Yellow-eyed penguin","Chatham Island Oystercatcher","Welcome Swallow"
35,Harrier,"Barn Owl",Bittern,Morepork,"New Zealand Falcon"
36,"Fairy Tern","Black Stilt",Bittern,"New Zealand Dotterel","Little Spotted Kiwi"
37,Harrier,Kererū,Kākāpō,"Little Penguin",Morepork
39,"Shore Plover","Fairy Tern","Antipodean Albatross","Hutton's Shearwater","Southern Brown Kiwi"
40,"New Zealand Falcon",Fantail,"Welcome Swallow","Little Penguin","Shining Cuckoo"
41,"New Zealand Dotterel","Southern Brown Kiwi","North Island Brown Kiwi",Stitchbird,Kākā
42,Saddleback,"Orange-fronted Parakeet","Hutton's Shearwater","Yellow-eyed penguin","Gibson's Albatross"
44,"Banded Dotterel",Bittern,Silvereye,Takahē,"Southern Brown Kiwi"
45,Kōkako,"New Zealand Dotterel","New Zealand Falcon","Royal Spoonbill","Shining Cuckoo"
46,"Fairy Tern","Black-fronted Tern",Bittern,"Banded Dotterel","New Zealand Dotterel"
47,"Black Stilt",Bittern,"Fairy Tern","South Island Kōkako","Whenua Hou Diving Petrel"
48,"Banded Dotterel","Orange-fronted Parakeet","Black Robin","Little Spotted Kiwi","South Island Kōkako"
49,Kākāpō,"Blue Duck",Fantail,"Antipodean Albatross",Stitchbird
50,Kākāpō,"New Zealand Falcon","Black Robin","Fiordland Crested Penguin","Barn Owl"
51,Kākāpō,Kākā,Kōkako,Kererū,Takahē
53,"Antipodean Albatross",Bellbird,Morepork,"White Heron",Kākāpō
54,"Antipodean Albatross","Fiordland Crested Penguin","Southern Brown Kiwi","New Zealand Falcon","Little Spotted Kiwi"
55,Kōkako,"Black Robin","New Zealand Falcon",Stitchbird,Rifleman
56,"Yellow-eyed penguin","Little Penguin","Fiordland Crested Penguin","Rockhopper Penguin",Fantail
58,"Yellow-eyed penguin","Arctic Skua",Bellbird,"Shining Cuckoo","New Zealand Falcon"
59,"Yellow-eyed penguin","Fairy Tern","Black Stilt",Saddleback,Bittern
60,"Yellow-eyed penguin"
62,Harrier,"Antipodean Albatross",Saddleback,Kea,"Banded Dotterel"
63,"Yellow-eyed penguin",Kākā,"New Zealand Dotterel",Kākāpō,"Black Robin"
64,"Spotted Shag",Saddleback,Fantail,Takahē,Tūī
66,Kingfisher,Kākāpō,"Little Penguin",Morepork,"Banded Dotterel"
68,Harrier
69,"Grey Warbler",Tūī,Fantail,"Banded Dotterel","Bar-tailed Godwit"
70,"Blue Duck","Brown Teal","New Zealand Dotterel",Tomtit,"Shore Plover"
72,"Fiordland Crested Penguin","Little Penguin","Rockhopper Penguin",Bellbird
76,Kākāpō,"Rock Wren","New Zealand Falcon"
77,Kākā,"Little Penguin",Kingfisher,"Black Robin",Stitchbird
78,Kōkako,"New Zealand Falcon","South Island Kōkako",Stitchbird,Saddleback
79,Tūī,"Little Spotted Kiwi",Bellbird,Saddleback,Fantail
81,Kea,"Fiordland Crested Penguin",Kākāpō,Tomtit,"Little Penguin"
82,Bellbird,Fernbird,"Orange-fronted Parakeet","Rock Wren","Shore Plover"
85,Kererū,Kākāpō,"Blue Duck","Little Spotted Kiwi","Orange-fronted Parakeet"
86,Kererū,Kākāpō,"Yellow-eyed penguin","South Island Kōkako","Little Spotted Kiwi"
87,Tūī,"New Zealand Falcon","Royal Spoonbill",Fantail,Kōkako
88,Kākāpō,Tūī,Kea,"Fiordland Crested Penguin",Fantail
90,Bittern,"Banded Dotterel","Black-fronted Tern","Fairy Tern",Wrybill
91,"New Zealand Falcon","Banded Dotterel","Orange-fronted Parakeet",Kea,Kākā
92,"Rockhopper Penguin",Takahē,Tomtit,Tūī,Kererū
94,Kākāpō,"Black Robin",Kea,Kākā,"Orange-fronted Parakeet"
95,Kea,Kākā,Kākāpō,Tūī,Bellbird
96,Harrier,Fantail,"New Zealand Falcon","Southern Royal Albatross","New Zealand Robin"
97,"Yellow-eyed penguin",Mōhua,Kākāpō,"Banded Dotterel","Fiordland Crested Penguin"
98,"Fairy Tern",Kākāpō,"Blue Duck","Banded Dotterel","Black Robin"
99,Kererū,"South Island Kōkako",Kākā,"Yellow-eyed penguin","Black Robin"
100,Kākāpō,"Great Spotted Kiwi","Little Penguin","Little Spotted Kiwi","North Island Brown Kiwi"
101,Fantail,Kea,Weka,Kākāpō,Kākā
102,Saddleback,Rifleman,"Shining Cuckoo",Kingfisher,Bellbird
103,Bellbird,"Blue Duck",Fernbird,Morepork,"New Zealand Dotterel"
104,Kākāpō,"Fiordland Crested Penguin",Bittern,"Rockhopper Penguin","Yellow-eyed penguin"
105,"Black Robin","Black-billed Gull","Blue Duck","Chatham Island Mollymawk","Chatham Island Oystercatcher"
106,Tomtit,Fantail,"New Zealand Falcon",Morepork,Kōkako
107,Bittern,"Blue Duck","North Island Brown Kiwi",Saddleback,"Southern Brown Kiwi"
108,"Yellow-eyed penguin","Rock Wren","New Zealand Falcon","New Zealand Dabchick","Bar-tailed Godwit"
110,Mōhua,"Little Spotted Kiwi","Black Robin",Kākā,Kea
111,Kākāpō
112,Kererū
113,Kākāpō,"Black Robin","Chatham Island Oystercatcher","Great Spotted Kiwi",Kea
114,Kea,Kākā,Tūī,"Orange-fronted Parakeet",Wrybill
115,Rifleman,"Grey Warbler",Tomtit,Stitchbird,Fantail
118,Saddleback,"Blue Duck",Morepork,"Grey Warbler","Royal Spoonbill"
119,Kākāpō,"Little Spotted Kiwi","Orange-fronted Parakeet","South Island Kōkako","Southern Brown Kiwi"
121,"Orange-fronted Parakeet","The Otago Shag","Yellow-eyed penguin","Blue Duck","Banded Dotterel"
122,Kererū,"Rockhopper Penguin","South Island Kōkako",Kākāpō,"Orange-fronted Parakeet"
123,Kererū,"Blue Duck",Weka,"Yellow-eyed penguin","South Island Kōkako"
124,Kea,"Northern Royal Albatross","New Zealand Robin","Antipodean Albatross","Southern Royal Albatross"
125,Kererū,"Whenua Hou Diving Petrel","Fairy Tern","Yellow-eyed penguin","Chatham Island Oystercatcher"
127,Bellbird,Silvereye,"Little Spotted Kiwi",Kākāpō,Morepork
128,Kōkako,"South Island Kōkako","Little Spotted Kiwi","Southern Brown Kiwi",Kingfisher
129,"Banded Dotterel","Black Robin",Kākāpō,Kōkako,"Little Spotted Kiwi"
130,"Little Penguin","Grey Warbler","Antipodean Albatross",Bellbird,"Orange-fronted Parakeet"
131,Wrybill,"South Island Kōkako",Saddleback,Kōkako,"Royal Spoonbill"
132,Bittern,Fantail,Kōkako,"Orange-fronted Parakeet",Saddleback
134,"Fairy Tern","Rockhopper Penguin","Yellow-eyed penguin","Chatham Island Mollymawk","Australasian Gannet"
135,Kākā,"The Otago Shag","Blue Duck","North Island Brown Kiwi","Great Spotted Kiwi"
136,Rifleman,"Royal Spoonbill",Bellbird,"Rockhopper Penguin",Mōhua
137,Saddleback,"Black Robin","South Island Kōkako","Southern Brown Kiwi",Kākāpō
138,"Yellow-eyed penguin",Kākāpō,Kākā,Fantail,Takahē
139,Morepork,"White Heron",Kākāpō,Tūī,"New Zealand Falcon"
140,"Yellow-eyed penguin"
141,Kererū,"Black-fronted Tern",Stitchbird,"Spotless Crake","Black Stilt"
143,Kākāpō
145,Kōkako,"Grey Warbler",Bittern,"Black Stilt",Kea
146,"Yellow-eyed penguin","Black Stilt","Fairy Tern","Banded Dotterel","Whenua Hou Diving Petrel"
147,"White Heron","Grey Warbler",Fantail,Morepork,Silvereye
148,"Grey Warbler",Fantail,Kingfisher,Tūī,Kererū
149,Harrier
151,Morepork,Kōkako,Silvereye,Kākāpō,Tūī
153,Tūī,"Orange-fronted Parakeet",Mōhua,"Little Spotted Kiwi","Black Robin"
154,"North Island Brown Kiwi",Bellbird,"Shining Cuckoo",Silvereye,Tūī
155,"Yellow-eyed penguin","Grey Warbler","Blue Duck",Harrier,"New Zealand Falcon"
156,Kākāpō,Takahē,Kōkako,Bellbird,Fantail
157,Saddleback,Morepork,"Little Spotted Kiwi",Scaup,Kererū
160,"New Zealand Dotterel","Banded Dotterel","New Zealand Falcon","Yellow-eyed penguin","Antipodean Albatross"
163,"Little Penguin",Saddleback,"Barn Owl","Yellow-eyed penguin","Rockhopper Penguin"
164,Wrybill
166,Fantail,Kererū,"New Zealand Falcon","Shining Cuckoo",Harrier
167,Bittern,"Grey Warbler",Kākā,Kōkako,"Little Penguin"
169,"Antipodean Albatross","Fiordland Crested Penguin",Kākāpō,"Orange-fronted Parakeet","Fairy Tern"
170,Fantail,Kākāpō,Pūkeko,"Great Spotted Kiwi","Fiordland Crested Penguin"
171,Kōkako,"New Zealand Falcon",Saddleback,Stitchbird,"Yellow-eyed penguin"
173,Kea,Kākā,Kākāpō,"New Zealand Robin",Rifleman
174,"Yellow-eyed penguin",Tomtit,"Shore Plover","Rockhopper Penguin","Fiordland Crested Penguin"
176,"New Zealand Falcon","New Zealand Dabchick",Rifleman,"Black Robin",Kingfisher
178,"New Zealand Dabchick","Little Penguin","Fiordland Crested Penguin",Kererū,Tomtit
179,Tūī,Kākāpō,Kererū,Bellbird,Fantail
180,Harrier,"Black Stilt",Morepork,Kākā,"Yellow-eyed penguin"
181,"Blue Duck","Little Penguin",Rifleman,Kingfisher,"New Zealand Falcon"
184,"Shore Plover","Black Stilt","Black Robin",Mōhua,"New Zealand Dotterel"
186,Stitchbird,"Shore Plover",Fernbird,Whitehead,"New Zealand Robin"
